id,user,uid,version,changeset,timestamp
12217751,DoodleBob,4339485,4,43145621,2016-10-24T23:17:08Z
12217972,yaya_B,8484081,9,62124375,2018-08-30T02:49:54Z
12219585,VeeBee23,8076754,25,63855157,2018-10-25T05:52:03Z
12219610,upendraK,8976546,11,63895684,2018-10-26T10:36:52Z
12219833,historicalYas,7532068,16,62793493,2018-09-21T11:22:31Z
12220086,Enock4seth,1803854,13,99858758,2021-02-23T23:09:43Z
12220107,Enock4seth,1803854,27,99858758,2021-02-23T23:09:43Z
12220229,Enock4seth,1803854,21,99858758,2021-02-23T23:09:43Z
12220263,Enock4seth,1803854,13,99858758,2021-02-23T23:09:43Z
12700966,AwezGeo,10108334,9,96272000,2020-12-22T16:51:24Z
13068579,mounika rasetty,10285127,11,80793382,2020-02-10T11:43:15Z
13068691,g_art_k,7725423,5,63834006,2018-10-24T14:00:02Z
13068884,Enock4seth,1803854,8,73631726,2019-08-22T15:46:06Z
13070051,movie_fan_sal,8484034,8,63817086,2018-10-24T04:35:17Z
13070163,movie_fan_sal,8484034,4,63817086,2018-10-24T04:35:17Z
13070194,GO_OSM,282860,10,27403617,2014-12-11T18:01:20Z
13071648,ChadSi,7725447,15,63866291,2018-10-25T12:48:26Z
13072159,ahab003,4497723,6,42906719,2016-10-14T21:08:44Z
13072224,ahab003,4497723,7,42906719,2016-10-14T21:08:42Z
13078694,technoH,8610624,6,63868031,2018-10-25T13:42:23Z
13078748,VeeBee23,8076754,5,63852324,2018-10-25T03:09:52Z
13078793,GO_OSM,282860,6,35221589,2015-11-10T17:41:17Z
13203622,Priyanka_Kumari,10285114,25,79867926,2020-01-21T17:05:36Z
13203687,yaya_B,8484081,9,62123527,2018-08-30T01:32:31Z
13203801,ahab003,4497723,9,42905928,2016-10-14T20:29:32Z
13203928,mapsGR,8710050,8,66528728,2019-01-22T07:49:01Z
13203970,mapsGR,8710050,8,66528728,2019-01-22T07:49:01Z
13204005,yaya_B,8484081,10,62123527,2018-08-30T01:32:31Z
13204058,ahab003,4497723,7,42905928,2016-10-14T20:29:32Z
13205518,g_art_k,7725423,8,63833556,2018-10-24T13:45:47Z
13205562,g_art_k,7725423,6,63833556,2018-10-24T13:45:47Z
13205994,Enock4seth,1803854,27,99858758,2021-02-23T23:09:43Z
13206002,g_art_k,7725423,28,63805144,2018-10-23T17:50:32Z
13495211,Enock4seth,1803854,9,50721419,2017-07-31T13:05:04Z
13496274,Talika,9083841,9,99393766,2021-02-16T16:08:49Z
13497365,jet_01,10794995,7,88149132,2020-07-17T14:57:31Z
13499390,Enock4seth,1803854,5,60627219,2018-07-11T20:10:54Z
13499963,MyWayOrNoHighway,4351550,6,43068878,2016-10-21T20:53:47Z
13499977,mounika rasetty,10285127,30,80031951,2020-01-24T12:22:04Z
13500177,NorthArrow97,8794107,7,63893384,2018-10-26T09:12:45Z
13500335,Dotty1,6441824,11,51038485,2017-08-11T15:55:48Z
13500384,Enock4seth,1803854,6,60017910,2018-06-20T17:46:26Z
13500464,Enock4seth,1803854,12,69213662,2019-04-14T20:41:02Z
13500581,Enock4seth,1803854,7,60017910,2018-06-20T17:46:28Z
13501391,jet_01,10794995,6,88149132,2020-07-17T14:57:31Z
13501581,DoodleBob,4339485,4,43042589,2016-10-20T19:38:43Z
13501949,mapsGR,8710050,10,66527347,2019-01-22T06:20:17Z
13502029,YOz,251445,4,47198634,2017-03-27T11:12:21Z
13503064,Enock4seth,1803854,11,67702974,2019-03-01T23:09:25Z
13503559,Enock4seth,1803854,9,80253201,2020-01-29T11:41:01Z
13503928,HENRY OPPONG,8880467,12,95649681,2020-12-11T02:36:24Z
13504575,theplateau,8710044,6,63836831,2018-10-24T15:20:08Z
13504890,GO_OSM,282860,4,35337879,2015-11-15T21:42:37Z
13505317,GO_OSM,282860,5,35337879,2015-11-15T21:42:37Z
13505506,Akwasi_Triggar,10054757,7,75534639,2019-10-10T21:26:06Z
13505864,ahab003,4497723,7,42907068,2016-10-14T21:29:16Z
13506243,Sammyhawkrad,6406545,18,98980806,2021-02-09T13:35:47Z
13506539,MaillotJaune,8794053,15,63877216,2018-10-25T18:05:17Z
13506941,Vaseem Akram,8782055,9,67302846,2019-02-18T06:24:06Z
13507291,historicalYas,7532068,9,63156867,2018-10-03T11:44:30Z
13507608,Ernest Yawoe,10315844,4,96653209,2020-12-30T08:59:17Z
13513188,opafem,3332656,6,50360325,2017-07-17T19:13:45Z
13513307,ahab003,4497723,8,43040393,2016-10-20T17:49:52Z
13513347,ahab003,4497723,9,43040159,2016-10-20T17:35:27Z
13513477,Sadvi JU,10285126,7,79855275,2020-01-21T12:29:34Z
13513487,cartorhythm,8610585,8,63794539,2018-10-23T12:38:57Z
13513510,cartorhythm,8610585,8,63791153,2018-10-23T11:03:21Z
13513588,Firefishy,3560,5,3889838,2010-02-16T07:44:21Z
13513655,cartorhythm,8610585,6,63794539,2018-10-23T12:38:57Z
13513756,yaya_B,8484081,3,62235004,2018-09-03T04:55:45Z
13513772,jet_01,10794995,5,88242031,2020-07-20T11:04:05Z
